XsdFilePosition,Name,Type,SubstitutionGroup,IsAbstract,INullable
gmd\extent.xsd(86),EX_BoundingPolygon,gmd:EX_BoundingPolygon_Type,gmd:AbstractEX_GeographicExtent,FALSE,FALSE
gmd\extent.xsd(161),EX_GeographicBoundingBox,gmd:EX_GeographicBoundingBox_Type,gmd:AbstractEX_GeographicExtent,FALSE,FALSE
gmd\extent.xsd(184),EX_SpatialTemporalExtent,gmd:EX_SpatialTemporalExtent_Type,gmd:EX_TemporalExtent,FALSE,FALSE
gmd\extent.xsd(204),EX_GeographicDescription,gmd:EX_GeographicDescription_Type,gmd:AbstractEX_GeographicExtent,FALSE,FALSE
gmd\freeText.xsd(75),LocalisedCharacterString,gmd:LocalisedCharacterString_Type,gco:CharacterString,FALSE,FALSE
gmd\freeText.xsd(111),LanguageCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\freeText.xsd(121),Country,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\identification.xsd(98),MD_DataIdentification,gmd:MD_DataIdentification_Type,gmd:AbstractMD_Identification,FALSE,FALSE
gmd\identification.xsd(117),MD_ServiceIdentification,gmd:MD_ServiceIdentification_Type,gmd:AbstractMD_Identification,FALSE,FALSE
gmd\identification.xsd(285),MD_TopicCategoryCode,gmd:MD_TopicCategoryCode_Type,gco:CharacterString,FALSE,FALSE
gmd\identification.xsd(295),MD_CharacterSetCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\identification.xsd(305),MD_SpatialRepresentationTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\identification.xsd(315),MD_ProgressCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\identification.xsd(325),MD_KeywordTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\identification.xsd(335),DS_AssociationTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\identification.xsd(345),DS_InitiativeTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
